Pair_ID,Source_table,Thermometer_calibration,Barometer_calibration,Reference,Run,LEPR_ID,T_C_exp,P_kbar_exp,H2O_Liq_wt_pct,CaTs_Cpx_source_marker,SiO2_Cpx_wt_pct,TiO2_Cpx_wt_pct,Al2O3_Cpx_wt_pct,FeO_Cpx_wt_pct,MnO_Cpx_wt_pct,MgO_Cpx_wt_pct,CaO_Cpx_wt_pct,Na2O_Cpx_wt_pct,K2O_Cpx_wt_pct,P2O5_Cpx_wt_pct,Total_Cpx_wt_pct,SiO2_Liq_wt_pct,TiO2_Liq_wt_pct,Al2O3_Liq_wt_pct,FeO_Liq_wt_pct,MnO_Liq_wt_pct,MgO_Liq_wt_pct,CaO_Liq_wt_pct,Na2O_Liq_wt_pct,K2O_Liq_wt_pct,P2O5_Liq_wt_pct,Total_Liq_wt_pct
Masotta2013_1EA_034,Table 1EA,1,1,Fabbrizio and Carroll (2008),1T,,825,1.5,5.7,X,50.34,0.35,2.67,8.2,0.42,12.93,22.84,0.49,0.02,0,98.36,62.08,0.36,18.79,2.02,0.3,0.15,1.77,7.83,6.7,0,100
Masotta2013_1EA_035,Table 1EA,1,1,Fabbrizio and Carroll (2008),1H,,725,2,8.29,X,47.29,0.72,4.36,16.71,1.74,5.12,19.42,1.2,0.71,0,97.37,62.17,0.44,20.65,1.76,0.18,0.04,0.79,8.95,5.02,0,100
Masotta2013_1EA_036,Table 1EA,1,1,Fabbrizio and Carroll (2008),1N,,745,2,8.97,,50.18,0.6,2.78,9.45,0.78,12.11,22.47,0.54,0.03,0,98.98,63.06,0.11,20.14,1.76,0.21,0.06,0.93,8.09,5.63,0,100
Masotta2013_1EA_037,Table 1EA,1,1,Fabbrizio and Carroll (2008),1W,,760,2,7.19,,46.81,1.29,5.09,12.73,1.56,9.15,21.54,1.1,0.18,0,99.51,64.57,0.12,19.44,1.48,0.18,0.08,0.96,6.96,6.21,0,100
Masotta2013_1EA_038,Table 1EA,1,1,Fabbrizio and Carroll (2008),1V,,775,2,7.78,,47.59,0.9,4.07,11.89,1.62,9.57,22.08,1.06,0.07,0,98.98,63.88,0.17,19.57,1.34,0.21,0.08,1.06,7.9,5.78,0,100
Masotta2013_1EA_039,Table 1EA,1,1,Fabbrizio and Carroll (2008),38W,,850,1,4.93,X,48.78,0.63,6.42,12.07,0.63,8.42,20.43,0.43,0.66,0,98.51,63.86,0.3,18.35,1.76,0.16,0.15,1.64,6.33,7.44,0,100
Masotta2013_1EA_040,Table 1EA,1,1,Fabbrizio and Carroll (2008),38H,,800,1.5,6.74,X,49.26,0.62,3.89,10.58,0.58,11.48,22.61,0.41,0.02,0,99.56,65.62,0.18,18.36,1.47,0.17,0.12,1.39,6.14,6.55,0,100
Masotta2013_1EA_041,Table 1EA,1,1,Fabbrizio and Carroll (2008),38B,,825,1.5,6.59,X,44.79,0.98,6.48,16.15,0.6,6.46,22.56,0.4,0.05,0,98.51,64.86,0.24,18.93,1.67,0.15,0.18,1.75,5.48,6.74,0,100
Masotta2013_1EA_042,Table 1EA,1,1,Fabbrizio and Carroll (2008),38F,,760,2,7.67,X,49.52,0.56,3.8,8.26,0.43,12.01,22.8,0.36,0.07,0,98.01,68.97,0.08,16.93,1.23,0.12,0.18,1.1,6.53,4.87,0,100
Masotta2013_1EA_043,Table 1EA,1,1,Fabbrizio and Carroll (2008),38E,,775,2,7.67,X,45.33,1.31,6.94,11.93,0.53,9.81,22.72,0.61,0.02,0,99.41,67.05,0.09,17.68,1.15,0.13,0.08,1.46,6.62,5.74,0,100
Masotta2013_1EA_044,Table 1EA,1,1,Fabbrizio and Carroll (2008),38I,,800,2,6.17,X,46.39,0.87,5.15,15.48,0.86,7.15,22.41,0.56,0.03,0,98.94,64.3,0.17,19.13,1.47,0.17,0.12,1.72,6.39,6.53,0,100
Masotta2013_1EA_045,Table 1EA,1,1,Fabbrizio and Carroll (2008),3,,880,2,3.3,X,46.91,0.8,5.54,10.28,0.36,11.66,23.3,0.49,0.03,0,99.49,59.66,0.3,17.93,1.75,0.05,0.31,2.63,9.17,8.2,0,100
Masotta2013_1EA_046,Table 1EA,1,1,Berndt et al. (2001),May-19,,880,2,7.6,X,45.87,1.83,6.14,13.07,0.54,8.49,23.34,0.53,0.22,0,98.01,60.85,0.48,20.36,2.43,0.09,0.17,2.99,5.57,7.06,0,100
Masotta2013_1EA_047,Table 1EA,1,1,Berndt et al. (2001),Oct-13,,840,2,7.8,X,44.7,2.21,7.38,14.27,0.57,6.94,22.66,0.63,0.48,0,99.41,61.2,0.37,20.81,2,0.08,0.11,2.61,5.36,7.45,0,100
Masotta2013_1EA_048,Table 1EA,1,1,Berndt et al. (2001),6-Mar,,840,2,8.3,X,45.68,1.58,6.75,13.04,0.6,8.27,22.92,0.76,0.27,0,98.94,62.41,0.42,20.85,1.4,0.09,0.14,2.06,5.35,7.3,0,100
