model,target_type,phase,oxide,rel_error,n,median_abs_effect,mean_abs_effect,p90_abs_effect,p95_abs_effect,max_abs_effect,median_signed_effect,mean_signed_effect,qc_failed_n,clipped_to_zero_n,zero_value_no_effect_n
AgL24,T,liq,Na2O_liq,0.02,296.0,0.164794921875,0.20229463319520694,0.43157958984375,0.521942138671875,0.794921875,-0.0093994140625,0.00502983299461571,0.0,0.0,0.0
AgL24,T,liq,Na2O_liq,0.03,296.0,0.23724365234375,0.26240910710515203,0.5220947265625,0.6136474609375,0.925537109375,0.00830078125,0.009381268475506757,0.0,0.0,0.0
AgL24,T,liq,SiO2_liq,0.01,296.0,0.66680908203125,0.6948904089025549,1.275390625,1.42303466796875,2.0191650390625,0.01763916015625,0.02427281560124578,0.0,0.0,0.0
AgL24,T,liq,SiO2_liq,0.02,296.0,1.39697265625,1.4037452903953758,2.437744140625,2.73516845703125,3.176025390625,0.12811279296875,0.054580069877005914,0.0,0.0,0.0
AgL24,T,liq,SiO2_liq,0.03,296.0,2.15582275390625,2.157951561180321,3.707763671875,3.9525146484375,4.5751953125,-0.05450439453125,0.10464023899387669,0.0,0.0,0.0
AgL24,T,liq,TiO2_liq,0.01,296.0,0.1202392578125,0.14186323011243665,0.29278564453125,0.3524169921875,0.518310546875,0.0,0.00533294677734375,0.0,0.0,0.0
AgL24,T,liq,TiO2_liq,0.02,296.0,0.192138671875,0.2299856237463049,0.447998046875,0.527496337890625,0.8104248046875,0.01556396484375,0.022487124881228886,0.0,0.0,0.0
AgL24,T,liq,TiO2_liq,0.03,296.0,0.285400390625,0.31198470656936234,0.62890625,0.704071044921875,1.1072998046875,0.031005859375,0.03843915784681166,0.0,0.0,0.0
Chi23,P,cpx,Al2O3_cpx,0.005,296.0,0.0,0.010472972972972958,0.0999999999999996,0.1,0.1000000000000005,0.0,0.00033783783783783775,0.0,0.0,0.0
Chi23,P,cpx,Al2O3_cpx,0.01,296.0,0.0,0.01993243243243241,0.1,0.1,0.1000000000000005,0.0,0.004391891891891894,0.0,0.0,0.0
Chi23,P,cpx,CaO_cpx,0.005,295.0,0.0,0.027796610169491493,0.1,0.1,0.1000000000000005,0.0,0.004745762711864413,1.0,0.0,0.0
Chi23,P,cpx,CaO_cpx,0.01,292.0,0.0,0.0544520547945205,0.1,0.1999999999999997,0.3000000000000007,0.0,0.007191780821917813,4.0,0.0,0.0
Chi23,P,cpx,Cr2O3_cpx,0.005,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.0
Chi23,P,cpx,Cr2O3_cpx,0.01,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.0
Chi23,P,cpx,FeO_cpx,0.005,295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Chi23,P,cpx,FeO_cpx,0.01,295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Chi23,P,cpx,K2O_cpx,0.005,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0
Chi23,P,cpx,K2O_cpx,0.01,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0
Chi23,P,cpx,MgO_cpx,0.005,295.0,0.0,0.030847457627118612,0.1,0.1,0.2000000000000001,0.0,0.0023728813559322176,1.0,0.0,0.0
